frame, idx, angle_rad   , range_m , x        , y
   13, 351, -0.314363487, 1.203000, 1.144045 , -0.371981
   13, 352, -0.308546305, 1.221000, 1.163340 , -0.370786
   13, 354, -0.296911940, 1.343000, 1.284236 , -0.392920
   13, 355, -0.291094758, 1.328000, 1.272131 , -0.381137
   13, 356, -0.285277575, 1.326000, 1.272408 , -0.373168
   13, 357, -0.279460393, 1.336000, 1.284169 , -0.368518
   13, 790, 2.239379570 , 1.656000, -1.026513, 1.299464
   13, 801, 2.303368576 , 1.806000, -1.207824, 1.342683
   13, 804, 2.320820123 , 1.810000, -1.233798, 1.324328
   13, 805, 2.326637305 , 1.817000, -1.246282, 1.322222
   13, 806, 2.332454488 , 1.816000, -1.253262, 1.314226
   13, 807, 2.338271670 , 1.813000, -1.258803, 1.304754
   13, 808, 2.344088852 , 1.835000, -1.281739, 1.313153
   14, 309, -0.558685146, 1.405000, 1.191374 , -0.744751
   14, 310, -0.552867964, 1.349000, 1.148029 , -0.708401
   14, 311, -0.547050782, 1.347000, 1.150422 , -0.700670
   14, 312, -0.541233599, 1.353000, 1.159621 , -0.697057
   14, 313, -0.535416417, 1.359000, 1.168817 , -0.693361
   14, 318, -0.506330505, 1.477000, 1.291681 , -0.716303
   14, 319, -0.500513323, 1.449000, 1.271260 , -0.695340
   14, 320, -0.494696140, 1.444000, 1.270883 , -0.685560
   14, 321, -0.488878958, 1.476000, 1.303101 , -0.693183
   14, 348, -0.331815034, 1.221000, 1.154398 , -0.397752
   14, 349, -0.325997852, 1.207000, 1.143429 , -0.386547
   14, 350, -0.320180669, 1.206000, 1.144709 , -0.379574
   14, 351, -0.314363487, 1.200000, 1.141192 , -0.371053
   14, 352, -0.308546305, 1.220000, 1.162387 , -0.370482
   14, 354, -0.296911940, 1.342000, 1.283280 , -0.392627
   14, 355, -0.291094758, 1.341000, 1.284585 , -0.384868
   14, 356, -0.285277575, 1.331000, 1.277206 , -0.374575
   14, 357, -0.279460393, 1.334000, 1.282247 , -0.367967
   14, 358, -0.273643211, 1.378000, 1.326728 , -0.372392
   14, 795, 2.268465482 , 1.733000, -1.113337, 1.328070
   14, 797, 2.280099846 , 1.757000, -1.144344, 1.333239
   14, 799, 2.291734211 , 1.761000, -1.162418, 1.322840
   14, 807, 2.338271670 , 0.050000, -0.034716, 0.035983
   14, 809, 2.349906035 , 1.853000, -1.302003, 1.318483
   14, 810, 2.355723217 , 1.857000, -1.312478, 1.313716
   15, 310, -0.552867964, 1.339000, 1.139519 , -0.703149
   15, 311, -0.547050782, 1.342000, 1.146152 , -0.698069
   15, 312, -0.541233599, 1.351000, 1.157907 , -0.696027
   15, 313, -0.535416417, 1.356000, 1.166236 , -0.691830
   15, 318, -0.506330505, 1.477000, 1.291681 , -0.716303
   15, 319, -0.500513323, 1.463000, 1.283543 , -0.702059
   15, 320, -0.494696140, 1.461000, 1.285845 , -0.693631
   15, 321, -0.488878958, 1.474000, 1.301336 , -0.692244
   15, 348, -0.331815034, 1.218000, 1.151561 , -0.396775
   15, 349, -0.325997852, 1.213000, 1.149113 , -0.388468
   15, 350, -0.320180669, 1.210000, 1.148506 , -0.380833
   15, 351, -0.314363487, 1.205000, 1.145947 , -0.372600
   15, 352, -0.308546305, 1.216000, 1.158576 , -0.369268
   15, 354, -0.296911940, 1.342000, 1.283280 , -0.392627
   15, 355, -0.291094758, 1.319000, 1.263510 , -0.378554
   15, 356, -0.285277575, 1.324000, 1.270489 , -0.372605
   15, 357, -0.279460393, 1.339000, 1.287053 , -0.369346
   15, 358, -0.273643211, 1.369000, 1.318063 , -0.369960
   15, 792, 2.251013935 , 1.686000, -1.060430, 1.310757
   15, 796, 2.274282664 , 1.722000, -1.113928, 1.313183
   15, 798, 2.285917029 , 1.766000, -1.157981, 1.333355
   15, 805, 2.326637305 , 1.821000, -1.249026, 1.325133
   15, 806, 2.332454488 , 1.823000, -1.258093, 1.319292
   15, 810, 2.355723217 , 1.828000, -1.291982, 1.293200
   16, 309, -0.558685146, 1.389000, 1.177807 , -0.736270
   16, 310, -0.552867964, 1.353000, 1.151433 , -0.710501
   16, 311, -0.547050782, 1.348000, 1.151276 , -0.701190
   16, 312, -0.541233599, 1.351000, 1.157907 , -0.696027
   16, 313, -0.535416417, 1.360000, 1.169677 , -0.693871
   16, 318, -0.506330505, 1.471000, 1.286434 , -0.713393
   16, 319, -0.500513323, 1.456000, 1.277402 , -0.698699
   16, 320, -0.494696140, 1.456000, 1.281445 , -0.691257
   16, 321, -0.488878958, 1.473000, 1.300453 , -0.691775
   16, 348, -0.331815034, 1.225000, 1.158180 , -0.399056
   16, 349, -0.325997852, 1.215000, 1.151008 , -0.389109
   16, 350, -0.320180669, 1.213000, 1.151354 , -0.381777
   16, 351, -0.314363487, 1.210000, 1.150702 , -0.374146
   16, 352, -0.308546305, 1.222000, 1.164292 , -0.371090
   16, 354, -0.296911940, 1.345000, 1.286149 , -0.393505
   16, 355, -0.291094758, 1.334000, 1.277879 , -0.382859
   16, 356, -0.285277575, 1.333000, 1.279125 , -0.375138
   16, 357, -0.279460393, 1.335000, 1.283208 , -0.368242
   16, 358, -0.273643211, 1.356000, 1.305547 , -0.366447
   16, 798, 2.285917029 , 1.767000, -1.158637, 1.334110
   16, 806, 2.332454488 , 1.820000, -1.256023, 1.317121
   16, 808, 2.344088852 , 1.844000, -1.288025, 1.319594
   16, 810, 2.355723217 , 1.866000, -1.318839, 1.320083
   17, 309, -0.558685146, 1.361000, 1.154064 , -0.721428
   17, 310, -0.552867964, 1.350000, 1.148880 , -0.708926
   17, 311, -0.547050782, 1.350000, 1.152984 , -0.702230
   17, 312, -0.541233599, 1.340000, 1.148479 , -0.690360
   17, 313, -0.535416417, 1.361000, 1.170537 , -0.694381
   17, 318, -0.506330505, 1.477000, 1.291681 , -0.716303
   17, 319, -0.500513323, 1.457000, 1.278279 , -0.699179
   17, 320, -0.494696140, 1.452000, 1.277924 , -0.689358
   17, 321, -0.488878958, 1.477000, 1.303984 , -0.693653
   17, 348, -0.331815034, 1.223000, 1.156289 , -0.398404
   17, 349, -0.325997852, 1.205000, 1.141535 , -0.385906
   17, 350, -0.320180669, 1.200000, 1.139014 , -0.377686
   17, 351, -0.314363487, 1.205000, 1.145947 , -0.372600
   17, 352, -0.308546305, 1.217000, 1.159528 , -0.369571
   17, 354, -0.296911940, 1.343000, 1.284236 , -0.392920
   17, 355, -0.291094758, 1.333000, 1.276921 , -0.382572
   17, 356, -0.285277575, 1.334000, 1.280085 , -0.375419
   17, 357, -0.279460393, 1.334000, 1.282247 , -0.367967
   17, 358, -0.273643211, 1.357000, 1.306510 , -0.366717
